"","group","location","location_name","species","species_name","length","weight","DDT_conc"
"1",1,1,"Afluente",1,"catfish",48,986,8.4
"2",1,1,"Afluente",1,"catfish",45,1023,15
"3",1,1,"Afluente",1,"catfish",49,1266,25
"4",1,1,"Afluente",1,"catfish",50,1086,5.6
"5",1,1,"Afluente",1,"catfish",46,1044,4.6
"6",1,1,"Afluente",1,"catfish",52,1770,8.2
"7",1,1,"Afluente",1,"catfish",48,1048,6.1
"8",1,1,"Afluente",1,"catfish",51,1641,13
"9",1,1,"Afluente",1,"catfish",48.5,1331,6
"10",1,1,"Afluente",1,"catfish",51,1728,6.6
"11",1,1,"Afluente",1,"catfish",44,917,5.5
"12",1,1,"Afluente",1,"catfish",51,1398,11
"13",1,1,"Afluente",2,"buffalo",49,1763,4.5
"14",1,1,"Afluente",2,"buffalo",46,1459,4.2
"15",1,1,"Afluente",2,"buffalo",52,2302,3
"16",1,1,"Afluente",2,"buffalo",46,1614,2.3
"17",1,1,"Afluente",2,"buffalo",46,1444,2.5
"18",1,1,"Afluente",2,"buffalo",48,2006,6.8
"19",1,1,"Afluente",1,"catfish",44.5,1133,2.6
"20",1,1,"Afluente",1,"catfish",46,1139,3.1
"21",1,1,"Afluente",1,"catfish",48,1186,3.5
"22",1,1,"Afluente",1,"catfish",45,984,9.1
"23",1,1,"Afluente",1,"catfish",43,965,7.8
"24",1,1,"Afluente",1,"catfish",45,1084,4.1
"25",1,1,"Afluente",1,"catfish",44,936,19
"26",1,1,"Afluente",1,"catfish",42,1058,7.2
"27",1,1,"Afluente",1,"catfish",42.5,800,6
"28",1,1,"Afluente",1,"catfish",45.5,1087,10
"29",1,1,"Afluente",1,"catfish",48,1329,12
"30",1,1,"Afluente",1,"catfish",44,897,2.8
"31",1,1,"Afluente",3,"bass",28.5,778,0.48
"32",1,1,"Afluente",3,"bass",26,532,0.18
"33",1,1,"Afluente",3,"bass",25.5,441,0.34
"34",1,1,"Afluente",3,"bass",25,544,0.11
"35",1,1,"Afluente",3,"bass",23,393,0.22
"36",1,1,"Afluente",3,"bass",28,733,0.8
"37",2,1,"Afluente",1,"catfish",41,961,8.7
"38",2,1,"Afluente",1,"catfish",44,886,22
"39",2,1,"Afluente",1,"catfish",41,678,13
"40",2,1,"Afluente",1,"catfish",42,1011,3.5
"41",2,1,"Afluente",1,"catfish",42.5,947,9.3
"42",2,1,"Afluente",1,"catfish",44,989,21
"43",1,1,"Afluente",2,"buffalo",43.5,1291,3.4
"44",1,1,"Afluente",2,"buffalo",46.5,1186,13
"45",1,1,"Afluente",2,"buffalo",43,1293,5.6
"46",1,1,"Afluente",2,"buffalo",47,1709,12
"47",1,1,"Afluente",2,"buffalo",46,1425,21
"48",1,1,"Afluente",2,"buffalo",41,1176,8
"49",1,2,"CursoM",1,"catfish",36,980,12
"50",1,2,"CursoM",1,"catfish",47.5,1176,6
"51",1,2,"CursoM",1,"catfish",41.5,989,4.7
"52",1,2,"CursoM",1,"catfish",49.5,1084,31
"53",1,2,"CursoM",1,"catfish",46,1115,5.2
"54",1,2,"CursoM",1,"catfish",46.5,724,27
"55",1,2,"CursoM",1,"catfish",36,847,18
"56",1,2,"CursoM",1,"catfish",37,876,7.5
"57",1,2,"CursoM",1,"catfish",35,844,3
"58",1,2,"CursoM",1,"catfish",36,908,13
"59",1,2,"CursoM",1,"catfish",48,1358,7.3
"60",1,2,"CursoM",1,"catfish",49,1019,15
"61",1,2,"CursoM",2,"buffalo",35.5,1300,1.3
"62",1,2,"CursoM",2,"buffalo",46,1365,4.8
"63",1,2,"CursoM",2,"buffalo",45,1437,5.1
"64",1,2,"CursoM",2,"buffalo",44.5,1460,5.1
"65",1,2,"CursoM",2,"buffalo",49,1671,4
"66",1,2,"CursoM",2,"buffalo",47.5,1717,10
"67",2,2,"CursoM",1,"catfish",35,613,12
"68",2,2,"CursoM",1,"catfish",51,353,22
"69",2,2,"CursoM",1,"catfish",42.5,909,10
"70",2,2,"CursoM",1,"catfish",38,886,11
"71",2,2,"CursoM",1,"catfish",41,890,17
"72",2,2,"CursoM",1,"catfish",47,1031,9.7
"73",2,2,"CursoM",1,"catfish",45,1083,12
"74",2,2,"CursoM",1,"catfish",45.5,864,4.7
"75",2,2,"CursoM",1,"catfish",45,886,6
"76",2,2,"CursoM",1,"catfish",45,965,3.8
"77",2,2,"CursoM",1,"catfish",39,537,17
"78",2,2,"CursoM",1,"catfish",40.5,630,12
"79",2,2,"CursoM",2,"buffalo",46,1486,1.4
"80",2,2,"CursoM",2,"buffalo",47,1743,6.1
"81",2,2,"CursoM",2,"buffalo",48.5,2061,2.8
"82",2,2,"CursoM",2,"buffalo",48,1707,4.8
"83",2,2,"CursoM",2,"buffalo",38,862,5.7
"84",2,2,"CursoM",2,"buffalo",38.5,911,3.3
"85",1,2,"CursoM",1,"catfish",40.5,741,28
"86",1,2,"CursoM",1,"catfish",48,1151,7.7
"87",1,2,"CursoM",1,"catfish",48,1186,2
"88",1,2,"CursoM",1,"catfish",43.5,754,19
"89",1,2,"CursoM",1,"catfish",40.5,679,16
"90",1,2,"CursoM",1,"catfish",47.5,985,5.4
"91",1,2,"CursoM",1,"catfish",42.5,732,10
"92",1,2,"CursoM",1,"catfish",44,795,16
"93",1,2,"CursoM",1,"catfish",41.5,547,23
"94",1,2,"CursoM",1,"catfish",39,465,21
"95",1,2,"CursoM",1,"catfish",50.5,1252,50
"96",1,2,"CursoM",1,"catfish",52,1255,150
"97",2,3,"Desemboca",1,"catfish",29.5,476,3.3
"98",2,3,"Desemboca",1,"catfish",42,743,3.7
"99",2,3,"Desemboca",1,"catfish",47.5,1128,9.9
"100",2,3,"Desemboca",1,"catfish",43.5,848,6.8
"101",2,3,"Desemboca",1,"catfish",47.5,1091,13
"102",2,3,"Desemboca",1,"catfish",43.5,715,8.8
"103",2,3,"Desemboca",1,"catfish",47.5,983,57
"104",2,3,"Desemboca",1,"catfish",51.5,1251,96
"105",2,3,"Desemboca",1,"catfish",49.5,1255,360
"106",2,3,"Desemboca",1,"catfish",47,1152,130
"107",2,3,"Desemboca",1,"catfish",47.5,1085,13
"108",2,3,"Desemboca",1,"catfish",47,1118,61
"109",2,3,"Desemboca",2,"buffalo",36,1285,12
"110",2,3,"Desemboca",2,"buffalo",34.5,1178,33
"111",2,3,"Desemboca",2,"buffalo",44.5,1492,48
"112",2,3,"Desemboca",2,"buffalo",46,1524,10
"113",2,3,"Desemboca",2,"buffalo",46,1473,44
"114",2,3,"Desemboca",2,"buffalo",32.5,520,0.43
"115",2,3,"Desemboca",1,"catfish",46,863,110
"116",2,3,"Desemboca",1,"catfish",40,549,9.4
"117",2,3,"Desemboca",1,"catfish",43.5,810,4.1
"118",2,3,"Desemboca",1,"catfish",46.5,908,2.8
"119",2,3,"Desemboca",1,"catfish",43,804,0.74
"120",2,3,"Desemboca",1,"catfish",47.5,1179,14
"121",2,3,"Desemboca",1,"catfish",32,556,22
"122",2,3,"Desemboca",1,"catfish",40.5,659,9.1
"123",2,3,"Desemboca",1,"catfish",51.5,1229,140
"124",2,3,"Desemboca",1,"catfish",48,1050,4.2
"125",2,3,"Desemboca",1,"catfish",47,952,12
"126",2,3,"Desemboca",1,"catfish",41,826,2
"127",2,3,"Desemboca",2,"buffalo",33.5,599,0.3
"128",2,3,"Desemboca",2,"buffalo",47,1704,1.2
"129",2,3,"Desemboca",1,"catfish",50,1207,7.1
"130",2,3,"Desemboca",1,"catfish",45,911,180
"131",2,3,"Desemboca",1,"catfish",49,1498,1.5
"132",2,3,"Desemboca",1,"catfish",49.5,1496,2.4
"133",2,3,"Desemboca",1,"catfish",50,1142,4.3
"134",2,3,"Desemboca",1,"catfish",45,879,3.9
"135",2,3,"Desemboca",2,"buffalo",32.5,525,0.99
"136",2,3,"Desemboca",2,"buffalo",38,806,0.45
"137",2,3,"Desemboca",2,"buffalo",38.5,694,2.5
"138",2,3,"Desemboca",2,"buffalo",36,643,0.25
"139",2,3,"Desemboca",3,"bass",26.5,514,0.58
"140",2,3,"Desemboca",3,"bass",23.5,358,2
"141",2,3,"Desemboca",3,"bass",30,856,2.2
"142",2,3,"Desemboca",3,"bass",29,793,7.4
"143",2,3,"Desemboca",3,"bass",17.5,173,0.35
"144",2,3,"Desemboca",3,"bass",36,1433,1.9
